Customer_ID,Customer_Name,Phone_Number,Gender,Age,City,State,Plan_Type,Network_Type,Avg_Monthly_Usage_Min,Avg_Data_Usage_GB,Monthly_Bill_Amount,Telecom_Company
CUST00042,Vidur Sethi,+917065169434,Female,19,Howrah,West Bengal,Prepaid,VoLTE,616.1,24.74,1701.15,IndiTel Communications
CUST00043,Ishita Bhasin,+918581018835,Male,21,Bangalore,Karnataka,Postpaid,5G,556.5,30.95,1196.49,IndiTel Communications
CUST00044,Ahana  Tara,+919996288575,Female,35,Durgapur,West Bengal,Postpaid,5G,883.7,41.05,1161.99,IndiTel Communications
CUST00045,Anaya Sinha,+919975090760,Female,41,Kolkata,West Bengal,Prepaid,VoLTE,214.2,4.01,1625.72,IndiTel Communications
CUST00046,Sara Contractor,+919087099045,Female,47,Nagpur,Maharashtra,Postpaid,5G,798.0,28.56,1289.8,IndiTel Communications
CUST00047,Tiya Kapadia,+917696285026,Female,60,Bangalore,Karnataka,Postpaid,VoLTE,774.5,40.55,1968.66,IndiTel Communications
CUST00048,Devansh Mani,+917716227589,Male,65,New Delhi,Delhi,Postpaid,5G,405.9,33.42,504.38,IndiTel Communications
CUST00049,Kismat Kara,+918077776362,Female,60,Dwarka,Delhi,Prepaid,VoLTE,911.2,25.51,682.86,IndiTel Communications
CUST00050,Ira Dutta,+918346235225,Male,59,Noida,Uttar Pradesh,Postpaid,5G,758.9,40.54,445.47,IndiTel Communications
CUST00051,Miraya Kadakia,+917252200866,Female,61,Rohini,Delhi,Prepaid,5G,204.2,8.17,2321.81,IndiTel Communications
CUST00052,Adira Kata,+917270900653,Male,57,Vadodara,Gujarat,Prepaid,5G,987.1,11.22,1322.55,IndiTel Communications
CUST00053,Faiyaz Mani,+918445628971,Male,28,Kolkata,West Bengal,Postpaid,5G,528.3,10.42,2354.28,IndiTel Communications
CUST00054,Vaibhav Karnik,+917406065487,Female,38,Dwarka,Delhi,Prepaid,5G,471.9,17.41,2141.62,IndiTel Communications
CUST00055,Jayant Warrior,+918274207287,Female,60,Coimbatore,Tamil Nadu,Prepaid,5G,176.1,2.61,1314.1,IndiTel Communications
CUST00056,Lagan Gaba,+919232570979,Female,34,Dwarka,Delhi,Prepaid,VoLTE,898.2,23.66,1987.54,IndiTel Communications
CUST00057,Vanya Kala,+917266489020,Male,42,Lucknow,Uttar Pradesh,Postpaid,4G,756.9,41.72,2089.74,IndiTel Communications
CUST00058,Vanya Kaul,+917661768605,Female,30,Rohini,Delhi,Prepaid,4G,660.8,49.11,2407.15,IndiTel Communications
CUST00059,Darshit Kar,+919699500875,Female,47,Karimnagar,Telangana,Prepaid,VoLTE,634.2,6.32,1588.69,IndiTel Communications
CUST00060,Samarth Chatterjee,+918334475613,Male,63,Coimbatore,Tamil Nadu,Postpaid,5G,107.1,25.33,561.89,IndiTel Communications
CUST00061,Ryan Singh,+918094693434,Male,22,Dwarka,Delhi,Postpaid,VoLTE,861.7,37.44,205.31,IndiTel Communications
CUST00062,Arhaan Buch,+917552106107,Female,50,Madurai,Tamil Nadu,Postpaid,VoLTE,747.0,30.39,1485.77,IndiTel Communications
CUST00063,Samar Mandal,+918502127677,Female,19,Coimbatore,Tamil Nadu,Postpaid,4G,233.3,27.92,2154.32,IndiTel Communications
CUST00064,Aayush Goswami,+918551191696,Female,54,Nagpur,Maharashtra,Postpaid,VoLTE,101.7,25.68,2070.86,IndiTel Communications
CUST00065,Divij Warrior,+918480081890,Male,24,Noida,Uttar Pradesh,Prepaid,5G,231.6,15.38,481.22,IndiTel Communications
CUST00066,Shamik Chawla,+917993541551,Female,53,Vadodara,Gujarat,Postpaid,4G,533.0,4.35,1203.43,IndiTel Communications
CUST00067,Mohanlal Mall,+919957162611,Female,28,Kolkata,West Bengal,Prepaid,5G,530.7,44.4,1924.83,IndiTel Communications
CUST00068,Vaibhav Shanker,+919127412991,Male,35,Ahmedabad,Gujarat,Prepaid,5G,652.1,10.9,801.72,IndiTel Communications
CUST00069,Vivaan Saha,+919306513026,Female,44,Ahmedabad,Gujarat,Postpaid,VoLTE,339.6,18.14,424.13,IndiTel Communications
CUST00070,Shalv Chaudhari,+919629583635,Male,35,Karimnagar,Telangana,Postpaid,4G,844.7,31.75,729.67,IndiTel Communications
CUST00071,Himmat Vora,+918589592956,Male,51,Rohini,Delhi,Postpaid,5G,234.3,5.47,1054.02,IndiTel Communications
CUST00072,Samiha Rajagopalan,+919014825744,Male,34,Howrah,West Bengal,Prepaid,5G,472.4,33.41,1661.29,IndiTel Communications
CUST00073,Rohan Devan,+919593828468,Female,45,Karimnagar,Telangana,Postpaid,4G,266.8,42.2,1699.05,IndiTel Communications
CUST00074,Anahita Devan,+919196184985,Female,23,Kanpur,Uttar Pradesh,Prepaid,4G,325.7,43.47,2491.85,IndiTel Communications
CUST00075,Taimur Sibal,+917695719175,Male,34,Howrah,West Bengal,Postpaid,VoLTE,344.1,6.03,1054.7,IndiTel Communications
CUST00076,Aaina Kata,+919161282047,Male,54,Hyderabad,Telangana,Postpaid,5G,748.0,38.31,276.54,IndiTel Communications
CUST00077,Darshit Sheth,+919641989419,Female,58,Vadodara,Gujarat,Postpaid,5G,358.9,11.74,811.09,IndiTel Communications
CUST00078,Reyansh Chanda,+917922048954,Male,39,Ahmedabad,Gujarat,Prepaid,VoLTE,356.2,11.5,2214.58,IndiTel Communications
CUST00079,Keya Zachariah,+919054382138,Female,45,Kanpur,Uttar Pradesh,Postpaid,VoLTE,411.9,49.92,413.01,IndiTel Communications
CUST00080,Inaaya  Brar,+918890747711,Male,52,Howrah,West Bengal,Prepaid,4G,762.7,36.01,1355.77,IndiTel Communications
CUST00081,Suhana Grewal,+919716555445,Male,32,New Delhi,Delhi,Postpaid,5G,394.4,14.89,781.91,IndiTel Communications
CUST00082,Nayantara Cherian,+917823159615,Male,63,Madurai,Tamil Nadu,Postpaid,VoLTE,780.5,1.64,1560.18,IndiTel Communications
CUST00083,Lagan Madan,+917650439032,Female,56,Mumbai,Maharashtra,Prepaid,5G,871.5,35.96,2480.98,IndiTel Communications
CUST00084,Ritvik Kadakia,+918176579194,Female,25,Dwarka,Delhi,Prepaid,5G,306.4,18.6,1054.52,IndiTel Communications
CUST00085,Divit Shroff,+919408142553,Male,62,Chennai,Tamil Nadu,Postpaid,4G,741.7,50.0,1417.8,IndiTel Communications
CUST00086,Rati Viswanathan,+918750866275,Female,32,Vadodara,Gujarat,Postpaid,5G,679.5,15.5,2303.32,IndiTel Communications
CUST00087,Kiara Shere,+919577824551,Female,58,Karimnagar,Telangana,Postpaid,5G,374.9,26.42,1485.9,IndiTel Communications
CUST00088,Pranay Sankaran,+919718278616,Male,38,Karimnagar,Telangana,Prepaid,5G,776.4,46.59,656.87,IndiTel Communications
CUST00089,Nitya Sinha,+918894937334,Female,41,Madurai,Tamil Nadu,Prepaid,VoLTE,912.9,27.05,923.99,IndiTel Communications
CUST00090,Aarav Hayer,+917457965479,Male,27,Nagpur,Maharashtra,Postpaid,4G,832.8,4.37,178.14,IndiTel Communications
CUST00091,Farhan Kakar,+919185724568,Male,53,Kolkata,West Bengal,Prepaid,4G,223.2,49.51,285.62,IndiTel Communications
CUST00092,Saanvi Kibe,+919289320392,Male,63,Kolkata,West Bengal,Prepaid,4G,970.9,44.18,1479.5,IndiTel Communications
CUST00093,Farhan Bhattacharyya,+918347005179,Female,20,Surat,Gujarat,Postpaid,5G,188.8,1.91,729.15,IndiTel Communications
CUST00094,Ishita Dhingra,+918084076916,Female,29,Howrah,West Bengal,Postpaid,5G,425.9,36.22,1391.34,IndiTel Communications
CUST00095,Anaya Brar,+917444740197,Male,44,Vadodara,Gujarat,Prepaid,5G,917.5,31.52,565.53,IndiTel Communications
CUST00096,Jiya Virk,+918441348551,Female,49,Noida,Uttar Pradesh,Prepaid,5G,442.4,29.86,2188.14,IndiTel Communications
CUST00097,Saksham Hayer,+919239305242,Male,46,New Delhi,Delhi,Postpaid,VoLTE,848.1,14.5,479.04,IndiTel Communications
CUST00098,Anahi Venkatesh,+917472123162,Male,23,Lucknow,Uttar Pradesh,Postpaid,4G,370.5,28.39,1733.01,IndiTel Communications
CUST00099,Zara Shanker,+917058275705,Male,32,Mangalore,Karnataka,Prepaid,4G,827.5,11.17,387.35,IndiTel Communications
CUST00100,Aayush Subramaniam,+917824185309,Female,49,Karimnagar,Telangana,Postpaid,VoLTE,682.5,2.39,1434.99,IndiTel Communications
CUST00101,Ehsaan Ben,+918020312907,Male,47,Durgapur,West Bengal,Prepaid,5G,828.0,48.6,2039.74,IndiTel Communications
CUST00102,Vardaniya Sekhon,+917002996389,Female,61,Howrah,West Bengal,Prepaid,5G,746.6,8.54,1472.6,IndiTel Communications
CUST00103,Divit Khurana,+918137303120,Female,23,Durgapur,West Bengal,Prepaid,VoLTE,987.6,21.63,1859.98,IndiTel Communications
CUST00104,Chirag Khare,+917807954464,Male,47,Karimnagar,Telangana,Postpaid,4G,660.7,7.22,1304.02,IndiTel Communications
CUST00105,Vanya Basu,+917726256214,Male,35,Mumbai,Maharashtra,Prepaid,4G,404.6,43.03,1930.08,IndiTel Communications
CUST00106,Aarush Bali,+917454192461,Male,40,Howrah,West Bengal,Prepaid,5G,719.3,32.08,644.74,IndiTel Communications
CUST00107,Suhana Sinha,+917103606156,Male,55,Kanpur,Uttar Pradesh,Postpaid,5G,349.0,12.44,1123.16,IndiTel Communications
CUST00108,Vaibhav Tripathi,+919665800140,Female,65,Mysore,Karnataka,Postpaid,5G,125.7,34.42,1534.47,IndiTel Communications
CUST00109,Ela Sharaf,+919555256763,Female,41,Mumbai,Maharashtra,Postpaid,VoLTE,967.5,38.72,1183.22,IndiTel Communications
CUST00110,Kaira Kamdar,+918202265626,Female,27,Coimbatore,Tamil Nadu,Postpaid,4G,595.3,32.27,2078.55,IndiTel Communications
CUST00111,Uthkarsh Banerjee,+919376589940,Female,22,Kolkata,West Bengal,Postpaid,4G,548.1,32.42,1692.44,IndiTel Communications
CUST00112,Saira Divan,+919689871289,Male,63,Madurai,Tamil Nadu,Prepaid,4G,882.4,17.8,2056.21,IndiTel Communications
CUST00113,Yuvraj  Jhaveri,+917821269692,Female,58,Durgapur,West Bengal,Postpaid,VoLTE,308.0,27.54,2225.18,IndiTel Communications
CUST00114,Khushi Chad,+917587596217,Female,52,Coimbatore,Tamil Nadu,Prepaid,4G,919.6,4.95,858.84,IndiTel Communications
CUST00115,Miraya Goda,+919738000588,Female,63,Madurai,Tamil Nadu,Prepaid,5G,376.1,3.86,542.37,IndiTel Communications
CUST00116,Vidur Dalal,+918687633540,Male,55,Dwarka,Delhi,Prepaid,VoLTE,503.6,28.53,2430.29,IndiTel Communications
CUST00117,Chirag Bakshi,+919811058368,Female,61,Lucknow,Uttar Pradesh,Prepaid,4G,479.2,23.08,176.38,IndiTel Communications
CUST00118,Hansh Shenoy,+917540344591,Male,24,Madurai,Tamil Nadu,Postpaid,5G,332.6,11.26,1927.48,IndiTel Communications
CUST00119,Eva Ramachandran,+917483611909,Male,37,Bangalore,Karnataka,Prepaid,5G,705.5,22.56,2320.23,IndiTel Communications
CUST00120,Jivika Kaul,+917429212778,Male,36,Madurai,Tamil Nadu,Prepaid,VoLTE,639.9,47.36,1779.81,IndiTel Communications
CUST00121,Drishya Gill,+918783410388,Male,42,Ahmedabad,Gujarat,Prepaid,5G,249.1,5.58,255.95,IndiTel Communications
CUST00122,Vaibhav Bawa,+918728380787,Female,59,Kanpur,Uttar Pradesh,Prepaid,4G,165.9,35.53,824.5,IndiTel Communications
CUST00123,Jayant Hora,+918853165574,Male,56,Mysore,Karnataka,Postpaid,4G,151.5,36.9,819.45,IndiTel Communications
CUST00124,Miraya Joshi,+917156308972,Male,57,Bangalore,Karnataka,Prepaid,4G,846.0,31.11,1784.63,IndiTel Communications
CUST00125,Farhan Dass,+917196545960,Male,60,Durgapur,West Bengal,Postpaid,VoLTE,919.9,5.56,1500.45,IndiTel Communications
CUST00126,Yasmin Kant,+918351802042,Female,21,Mysore,Karnataka,Postpaid,5G,529.0,15.41,1807.89,IndiTel Communications
CUST00127,Vardaniya Balay,+918524941195,Female,62,Mangalore,Karnataka,Postpaid,4G,660.5,5.16,2454.5,IndiTel Communications
CUST00128,Zaina Dua,+919275367519,Male,40,Madurai,Tamil Nadu,Postpaid,5G,300.3,42.98,1794.26,IndiTel Communications
CUST00129,Umang Gola,+918727831477,Male,57,Hyderabad,Telangana,Postpaid,VoLTE,114.6,31.92,2318.65,IndiTel Communications
CUST00130,Tejas Choudhury,+919313178032,Male,46,Warangal,Telangana,Postpaid,VoLTE,373.1,6.88,310.53,IndiTel Communications
CUST00131,Pranay Acharya,+918031922534,Female,37,Dwarka,Delhi,Postpaid,5G,440.6,31.11,1236.62,IndiTel Communications
CUST00132,Yuvraj  Sidhu,+919611978695,Female,58,Madurai,Tamil Nadu,Postpaid,VoLTE,451.3,18.13,921.66,IndiTel Communications
CUST00133,Ehsaan Lal,+919745530922,Male,39,Dwarka,Delhi,Postpaid,5G,241.5,11.85,2316.67,IndiTel Communications
CUST00134,Kiara Tank,+919835738207,Female,27,Durgapur,West Bengal,Prepaid,5G,961.3,4.19,1140.21,IndiTel Communications
CUST00135,Siya Sharaf,+918999071446,Male,32,Coimbatore,Tamil Nadu,Prepaid,4G,816.2,32.03,2420.72,IndiTel Communications
CUST00136,Manjari Karan,+918872188253,Male,34,Bangalore,Karnataka,Prepaid,5G,527.8,38.13,1025.7,IndiTel Communications
CUST00137,Lakshay Savant,+917938179058,Female,46,New Delhi,Delhi,Prepaid,VoLTE,914.9,46.46,385.61,IndiTel Communications
CUST00138,Vanya Halder,+918298988816,Female,57,Coimbatore,Tamil Nadu,Prepaid,VoLTE,226.4,19.74,1172.99,IndiTel Communications
CUST00139,Mamooty Kulkarni,+919015346828,Male,62,Surat,Gujarat,Postpaid,5G,869.1,7.66,2229.02,IndiTel Communications
CUST00140,Ritvik Bobal,+917618618478,Female,54,Howrah,West Bengal,Postpaid,VoLTE,467.7,49.47,458.44,IndiTel Communications
CUST00141,Riya Chauhan,+917640963043,Male,43,Ahmedabad,Gujarat,Prepaid,VoLTE,508.7,23.77,746.12,IndiTel Communications
CUST00142,Shalv Shukla,+919695209573,Male,28,Dwarka,Delhi,Postpaid,5G,223.7,7.9,2184.53,IndiTel Communications
CUST00143,Jivika Kala,+919073848664,Male,53,Madurai,Tamil Nadu,Postpaid,VoLTE,156.6,42.04,2109.4,IndiTel Communications
CUST00144,Khushi Balay,+919831041283,Female,18,New Delhi,Delhi,Postpaid,VoLTE,639.1,15.46,1551.57,IndiTel Communications
CUST00145,Suhana Wable,+918325778963,Female,56,Kolkata,West Bengal,Prepaid,VoLTE,808.4,28.8,1850.91,IndiTel Communications
CUST00146,Shayak Dhaliwal,+917071228196,Male,47,Chennai,Tamil Nadu,Postpaid,5G,391.6,46.62,1676.84,IndiTel Communications
CUST00147,Jivin Mahajan,+918584854520,Male,18,Madurai,Tamil Nadu,Postpaid,5G,294.3,41.98,714.77,IndiTel Communications
CUST00148,Krish Gandhi,+917125611603,Male,19,Noida,Uttar Pradesh,Prepaid,5G,471.7,24.26,810.39,IndiTel Communications
CUST00149,Neelofar Ramakrishnan,+917053824318,Female,28,Pune,Maharashtra,Postpaid,4G,647.3,37.42,2109.41,IndiTel Communications
CUST00150,Tara Joshi,+919721965955,Female,47,Rohini,Delhi,Prepaid,VoLTE,599.0,24.24,2175.57,IndiTel Communications
CUST00151,Lakshit Kant,+917171317090,Male,26,Kanpur,Uttar Pradesh,Postpaid,VoLTE,823.4,35.04,610.45,IndiTel Communications
CUST00152,Veer Chaudhry,+918558159493,Male,19,Dwarka,Delhi,Postpaid,4G,766.4,4.51,1248.87,IndiTel Communications
CUST00153,Bhamini Mall,+917131335375,Male,29,Durgapur,West Bengal,Prepaid,4G,953.3,32.46,1844.08,IndiTel Communications
CUST00154,Ayesha Deol,+918203757543,Male,34,Rohini,Delhi,Prepaid,VoLTE,919.3,36.09,2317.06,IndiTel Communications
CUST00155,Adira Dasgupta,+917862307964,Male,37,New Delhi,Delhi,Prepaid,4G,154.4,12.51,305.71,IndiTel Communications
CUST00156,Vaibhav Ghosh,+919942377990,Female,54,Lucknow,Uttar Pradesh,Prepaid,4G,301.5,41.83,253.75,IndiTel Communications
CUST00157,Nehmat Korpal,+919567107593,Female,53,Dwarka,Delhi,Postpaid,VoLTE,637.1,9.72,1526.42,IndiTel Communications
CUST00158,Azad Sur,+917444931941,Male,21,Mangalore,Karnataka,Prepaid,5G,352.0,48.85,2262.06,IndiTel Communications
CUST00159,Oorja Saxena,+917432658758,Female,39,Mysore,Karnataka,Prepaid,5G,342.3,38.36,2438.22,IndiTel Communications
CUST00160,Mamooty Sarkar,+918782525652,Male,24,Nagpur,Maharashtra,Prepaid,VoLTE,298.5,43.76,603.46,IndiTel Communications
CUST00161,Riaan Dua,+917768102031,Male,56,Pune,Maharashtra,Postpaid,VoLTE,463.0,26.94,357.95,IndiTel Communications
CUST00162,Anaya Edwin,+917536393155,Male,19,Pune,Maharashtra,Postpaid,4G,117.0,38.38,1843.63,IndiTel Communications
CUST00163,Prisha Sarin,+917393991662,Female,35,Pune,Maharashtra,Prepaid,4G,154.4,48.49,421.19,IndiTel Communications
CUST00164,Amani Deep,+917597943937,Male,19,Noida,Uttar Pradesh,Prepaid,5G,586.4,22.92,1893.42,IndiTel Communications
CUST00165,Manjari Kalita,+918271510602,Male,30,Durgapur,West Bengal,Postpaid,VoLTE,478.2,15.96,2150.19,IndiTel Communications
CUST00166,Uthkarsh Sachar,+918376452330,Male,29,Kanpur,Uttar Pradesh,Postpaid,VoLTE,998.0,6.0,1436.72,IndiTel Communications
CUST00167,Abram Shah,+917521238364,Female,50,Madurai,Tamil Nadu,Prepaid,4G,287.5,17.69,2191.17,IndiTel Communications
CUST00168,Ira Srinivasan,+919056894373,Male,59,Kolkata,West Bengal,Prepaid,VoLTE,384.7,32.83,185.09,IndiTel Communications
CUST00169,Jayan Ramaswamy,+917484541357,Female,36,Mysore,Karnataka,Postpaid,5G,271.4,37.66,572.46,IndiTel Communications
CUST00170,Devansh Lalla,+917355702144,Female,58,Hyderabad,Telangana,Postpaid,4G,799.2,45.91,821.12,IndiTel Communications
CUST00171,Arhaan Sen,+917680433759,Female,41,Madurai,Tamil Nadu,Postpaid,5G,391.4,15.73,915.12,IndiTel Communications
CUST00172,Aniruddh Hayer,+918562842240,Male,63,Surat,Gujarat,Postpaid,4G,344.6,23.4,1778.53,IndiTel Communications
CUST00173,Yakshit Mand,+918399408067,Female,57,Mangalore,Karnataka,Prepaid,5G,148.3,28.91,307.89,IndiTel Communications
CUST00174,Aniruddh Chaudhari,+919285233703,Female,43,Mangalore,Karnataka,Prepaid,5G,260.1,38.18,979.51,IndiTel Communications
CUST00175,Anahita Dugal,+918925679786,Male,55,Surat,Gujarat,Postpaid,VoLTE,230.1,24.9,1900.57,IndiTel Communications
CUST00176,Abram Yadav,+918721148944,Male,50,Pune,Maharashtra,Prepaid,4G,715.1,38.09,2225.74,IndiTel Communications
CUST00177,Rati Dugar,+917773586093,Female,21,Ahmedabad,Gujarat,Postpaid,5G,476.7,32.96,169.28,IndiTel Communications
CUST00178,Saira Chad,+918104816624,Female,37,New Delhi,Delhi,Prepaid,4G,799.4,9.97,1610.45,IndiTel Communications
CUST00179,Pranay Bhakta,+917534984074,Male,45,Ahmedabad,Gujarat,Prepaid,5G,679.0,36.3,1514.76,IndiTel Communications
CUST00180,Nishith Gole,+918960893572,Female,36,Lucknow,Uttar Pradesh,Prepaid,VoLTE,863.7,31.4,1829.56,IndiTel Communications
CUST00181,Divij Saha,+918129992761,Male,20,Warangal,Telangana,Prepaid,4G,509.9,21.73,1875.01,IndiTel Communications
CUST00182,Stuvan Dugar,+917141230603,Female,51,Madurai,Tamil Nadu,Prepaid,5G,800.6,36.29,1475.98,IndiTel Communications
CUST00183,Aarush Anne,+919411474012,Female,18,Karimnagar,Telangana,Prepaid,VoLTE,238.8,31.48,1398.09,IndiTel Communications
CUST00184,Mamooty Ratti,+918052323577,Male,57,Bangalore,Karnataka,Postpaid,VoLTE,488.0,4.7,300.17,IndiTel Communications
CUST00185,Hunar Kashyap,+918331318702,Female,61,Mumbai,Maharashtra,Postpaid,5G,881.5,34.18,2128.69,IndiTel Communications
CUST00186,Heer Ramakrishnan,+919863996159,Male,62,Coimbatore,Tamil Nadu,Prepaid,4G,989.1,16.51,400.72,IndiTel Communications
CUST00187,Samar Saraf,+919603199886,Male,55,Nagpur,Maharashtra,Postpaid,VoLTE,269.0,17.0,1356.44,IndiTel Communications
CUST00188,Seher Varughese,+919296394925,Female,53,Hyderabad,Telangana,Prepaid,VoLTE,600.7,2.82,2360.63,IndiTel Communications
CUST00189,Armaan Talwar,+917990340185,Female,65,Ahmedabad,Gujarat,Prepaid,VoLTE,909.9,35.21,1440.15,IndiTel Communications
CUST00190,Charvi Sane,+917183060867,Male,39,Mysore,Karnataka,Prepaid,VoLTE,342.6,10.4,2072.21,IndiTel Communications
CUST00191,Purab Comar,+918826655248,Male,43,Durgapur,West Bengal,Postpaid,VoLTE,309.4,8.71,530.02,IndiTel Communications
CUST00192,Romil Venkatesh,+918575966056,Male,29,Coimbatore,Tamil Nadu,Prepaid,4G,116.0,37.96,556.61,IndiTel Communications
CUST00193,Anvi Bhavsar,+919123548774,Male,63,Kolkata,West Bengal,Postpaid,5G,214.0,27.36,2252.12,IndiTel Communications
CUST00194,Shlok Hora,+918617469956,Female,42,Hyderabad,Telangana,Prepaid,VoLTE,216.1,9.55,813.18,IndiTel Communications
CUST00195,Urvi Shankar,+917356671172,Female,50,Dwarka,Delhi,Prepaid,5G,274.8,22.76,194.76,IndiTel Communications
CUST00196,Myra Kunda,+918428216069,Male,34,Madurai,Tamil Nadu,Prepaid,VoLTE,408.5,36.09,2121.92,IndiTel Communications
