Call_ID,Caller_Number,Receiver_Number,Call_Date,Call_Time,Call_Duration,Call_Type,Call_Cost,Tower_Location,Network_Type
CDR000033,+919200292634,+917816659913,2025-04-04,18:19:25,972,Local,15.59,Chennai-North,4G
CDR000034,+918079550899,+919945223884,2025-04-11,14:44:11,1284,STD,57.58,Pune,VoLTE
CDR000035,+919370031874,+919801804776,2025-06-11,05:08:01,2987,ISD,138.99,Kolkata-South,VoLTE
CDR000036,+918202837092,+919464474050,2025-04-05,15:12:52,1773,Roaming,37.36,Mumbai-East,VoLTE
CDR000037,+919873946079,+917012242147,2025-06-08,01:32:17,1091,STD,53.56,Bangalore,5G
CDR000038,+918920179750,+919967924796,2025-04-21,00:59:31,3385,Roaming,102.76,Pune,5G
CDR000039,+917002279095,+919658591865,2025-06-21,17:43:28,3041,Local,136.4,Mumbai-East,VoLTE
CDR000040,+917191372102,+917224519023,2025-04-13,07:51:16,2552,STD,41.4,Hyderabad,VoLTE
CDR000041,+917473629520,+917659337925,2025-05-11,12:26:14,1816,Local,25.83,Mumbai-East,VoLTE
CDR000042,+917053942106,+917146837317,2025-04-20,05:07:53,1067,Roaming,31.16,Hyderabad,4G
CDR000043,+918700216396,+918085490260,2025-04-12,07:11:52,737,STD,30.62,Hyderabad,VoLTE
CDR000044,+919162511026,+918377926583,2025-06-27,00:43:45,2088,STD,85.65,Chennai-North,4G
CDR000045,+918767060257,+919307658361,2025-05-24,06:51:47,187,ISD,3.97,Kolkata-South,VoLTE
CDR000046,+917927191602,+919369152592,2025-04-04,05:53:58,3273,Local,105.09,Pune,5G
CDR000047,+919167732722,+918058768421,2025-06-13,18:51:23,475,ISD,10.65,Pune,5G
CDR000048,+918120884124,+919646831632,2025-05-03,23:56:12,3003,ISD,38.21,Kolkata-South,5G
CDR000049,+918367410224,+918854022673,2025-06-24,07:54:56,925,Local,42.63,Chennai-North,4G
CDR000050,+918942779426,+919259035446,2025-04-04,05:00:19,3273,ISD,149.22,Bangalore,VoLTE
CDR000051,+917161251145,+917497281040,2025-04-29,11:14:58,2097,Roaming,96.19,Delhi-West,5G
CDR000052,+919068338423,+917366956649,2025-06-23,21:33:30,518,STD,10.36,Bangalore,5G
CDR000053,+919711811147,+918803304813,2025-04-27,17:27:50,464,Local,5.01,Pune,4G
CDR000054,+918632454553,+918579427510,2025-05-31,02:32:32,3399,ISD,155.14,Bangalore,4G
CDR000055,+918209037275,+919376182979,2025-05-03,20:30:09,531,Roaming,21.43,Mumbai-East,VoLTE
CDR000056,+917193714919,+918304772190,2025-04-22,19:53:58,1001,Local,23.39,Kolkata-South,VoLTE
CDR000057,+918284673719,+918166688067,2025-05-22,21:22:10,2234,Local,30.17,Bangalore,5G
CDR000058,+919775524710,+918337237389,2025-05-25,21:17:31,2360,ISD,66.45,Chennai-North,5G
CDR000059,+919964115151,+918743660930,2025-06-11,19:24:59,1332,ISD,53.43,Hyderabad,VoLTE
CDR000060,+918045424792,+918762812613,2025-06-27,10:57:53,1771,ISD,20.28,Chennai-North,5G
CDR000061,+919794022223,+918966031472,2025-06-08,18:15:31,2465,Roaming,89.07,Delhi-West,4G
CDR000062,+918493278493,+917495522706,2025-06-22,01:02:44,2835,ISD,134.68,Kolkata-South,4G
CDR000063,+919322501305,+919753649683,2025-06-18,23:31:46,3320,Local,36.54,Bangalore,5G
CDR000064,+919136720047,+919753527824,2025-06-11,10:33:58,1934,Local,31.06,Delhi-West,VoLTE
CDR000065,+917217706355,+919141600855,2025-05-26,17:18:26,606,STD,17.1,Kolkata-South,5G
CDR000066,+919725760596,+917538029433,2025-06-17,23:41:06,1036,ISD,32.54,Kolkata-South,4G
CDR000067,+917264347700,+917477559468,2025-04-27,08:34:07,1683,STD,23.08,Delhi-West,5G
CDR000068,+917762029877,+918913901324,2025-06-22,20:02:44,1417,STD,17.75,Hyderabad,5G
CDR000069,+917597293220,+918398698749,2025-04-09,10:39:29,684,STD,18.87,Kolkata-South,VoLTE
CDR000070,+919720887360,+919430688624,2025-04-23,22:31:27,3406,Roaming,147.98,Delhi-West,5G
CDR000071,+918098757938,+919915074687,2025-05-17,11:43:20,1275,Roaming,21.92,Delhi-West,5G
CDR000072,+917627575538,+918700176745,2025-04-08,22:45:42,1506,ISD,20.97,Bangalore,5G
CDR000073,+918008392037,+917461487027,2025-04-28,11:15:15,3292,STD,101.17,Mumbai-East,4G
CDR000074,+917229623758,+919547795403,2025-06-07,21:10:58,3584,STD,80.25,Chennai-North,VoLTE
CDR000075,+918637336192,+917440106586,2025-05-05,14:33:47,1521,ISD,67.85,Hyderabad,4G
CDR000076,+918918838106,+917089226598,2025-05-18,16:29:43,841,Local,12.64,Pune,4G
CDR000077,+919011972599,+917817199349,2025-06-10,03:14:50,2934,ISD,53.54,Pune,5G
CDR000078,+918201030725,+919323336367,2025-04-12,04:14:00,136,Roaming,4.11,Bangalore,5G
CDR000079,+918749253270,+917740103835,2025-04-18,23:50:55,2581,Local,31.82,Mumbai-East,5G
CDR000080,+918314015220,+917856307950,2025-05-13,13:55:34,2990,Local,138.24,Chennai-North,4G
CDR000081,+919559978945,+917209030626,2025-04-14,23:36:02,719,Local,22.4,Delhi-West,5G
CDR000082,+919431888969,+917099283948,2025-05-11,10:06:33,118,Roaming,4.43,Kolkata-South,4G
CDR000083,+919248127277,+918053689793,2025-06-26,01:42:02,3231,ISD,133.04,Pune,VoLTE
CDR000084,+918778693585,+917280910570,2025-05-10,23:50:17,17,ISD,0.72,Chennai-North,4G
CDR000085,+919874819510,+919377854881,2025-05-01,23:21:04,3457,Local,117.98,Pune,5G
CDR000086,+919339406378,+919698847984,2025-05-12,20:03:27,2035,Roaming,47.11,Bangalore,4G
CDR000087,+917649855982,+918398285688,2025-05-26,08:31:00,516,Local,11.24,Kolkata-South,VoLTE
CDR000088,+917007818956,+918534784758,2025-04-12,11:09:06,827,Local,40.92,Delhi-West,5G
CDR000089,+919263710083,+917811614903,2025-06-12,14:18:35,3253,Local,140.24,Hyderabad,4G
CDR000090,+917030378117,+918092177893,2025-04-19,07:48:30,2930,Roaming,60.65,Mumbai-East,VoLTE
CDR000091,+919266525791,+917305598910,2025-04-23,11:49:08,2865,ISD,62.76,Chennai-North,5G
CDR000092,+918621582279,+917809260945,2025-06-19,02:15:28,2103,ISD,72.84,Delhi-West,4G
CDR000093,+919878794745,+919019226843,2025-05-23,22:11:57,2953,ISD,137.72,Delhi-West,VoLTE
CDR000094,+917957878018,+917986309143,2025-06-09,02:10:04,1606,Local,48.49,Chennai-North,4G
CDR000095,+919054969441,+919328182037,2025-06-03,17:37:12,2875,STD,36.09,Bangalore,5G
CDR000096,+918580040552,+917280764720,2025-05-10,07:00:47,2392,Roaming,86.46,Chennai-North,4G
CDR000097,+918371552981,+919154672999,2025-05-30,23:14:36,1037,ISD,13.94,Delhi-West,4G
CDR000098,+919276241072,+918484171282,2025-06-25,15:30:59,3522,STD,163.16,Kolkata-South,VoLTE
CDR000099,+918448268958,+919390996406,2025-04-16,21:20:42,3206,Roaming,42.21,Kolkata-South,VoLTE
CDR000100,+918010167060,+919170395997,2025-04-16,04:34:24,1106,Local,39.72,Bangalore,5G
CDR000101,+917902179367,+917467613395,2025-05-06,23:39:24,1273,Roaming,12.93,Bangalore,VoLTE
CDR000102,+918993351774,+919813955310,2025-05-07,04:25:44,2558,Roaming,72.49,Delhi-West,5G
CDR000103,+919997208898,+919301741496,2025-05-29,13:41:25,1635,STD,47.93,Bangalore,4G
CDR000104,+918819767703,+917570485599,2025-04-08,02:49:08,2447,Roaming,60.42,Hyderabad,4G
CDR000105,+919465622715,+918329805211,2025-05-30,05:58:22,727,ISD,11.1,Delhi-West,5G
CDR000106,+917987790695,+919964139512,2025-04-04,11:16:56,372,Roaming,16.99,Kolkata-South,VoLTE
CDR000107,+917686504056,+919945092519,2025-04-13,11:21:23,518,STD,8.14,Chennai-North,5G
CDR000108,+919969379118,+918665760427,2025-04-04,12:23:08,480,ISD,11.92,Kolkata-South,4G
CDR000109,+919960229575,+919801418414,2025-05-13,07:01:14,1827,STD,39.16,Kolkata-South,4G
CDR000110,+919949659310,+919320318715,2025-04-20,08:04:16,2895,Local,88.62,Hyderabad,VoLTE
CDR000111,+919604593933,+919967472524,2025-04-16,07:05:32,278,STD,4.13,Delhi-West,4G
CDR000112,+917569319886,+919607085263,2025-05-05,23:15:23,535,ISD,10.64,Bangalore,4G
CDR000113,+917421940555,+918653245583,2025-04-27,20:16:32,1950,STD,51.12,Pune,4G
CDR000114,+918957901322,+919716520015,2025-05-24,08:58:34,3564,ISD,159.83,Delhi-West,VoLTE
CDR000115,+919338588161,+918473560687,2025-04-18,10:31:21,1004,Local,48.37,Kolkata-South,VoLTE
CDR000116,+917566846091,+918981966488,2025-05-23,08:54:46,1114,Roaming,37.18,Pune,VoLTE
CDR000117,+919242188620,+919868429431,2025-05-04,12:40:12,1755,Roaming,51.34,Mumbai-East,4G
CDR000118,+917460078260,+919734860819,2025-06-03,23:01:37,3534,STD,80.12,Bangalore,5G
CDR000119,+919442099120,+917619171333,2025-05-28,12:34:02,298,Local,6.16,Delhi-West,4G
CDR000120,+918488100831,+918374248663,2025-05-21,11:24:29,1854,ISD,75.23,Kolkata-South,5G
CDR000121,+919309419047,+919583695470,2025-06-13,07:36:24,284,Roaming,10.07,Delhi-West,5G
CDR000122,+918448162030,+918656876050,2025-05-25,23:33:16,186,Local,7.32,Mumbai-East,5G
CDR000123,+919769294694,+918672765503,2025-05-24,02:04:38,1884,Local,63.52,Bangalore,VoLTE
CDR000124,+918054859696,+918363118327,2025-06-18,19:22:40,2347,Local,55.33,Kolkata-South,VoLTE
CDR000125,+919459154374,+918900164531,2025-04-23,06:42:37,1128,Roaming,27.19,Mumbai-East,5G
CDR000126,+918176426650,+917570888258,2025-05-23,21:45:11,1529,Roaming,68.68,Kolkata-South,4G
CDR000127,+918139334458,+917026661859,2025-04-20,09:54:43,2600,ISD,71.38,Mumbai-East,4G
CDR000128,+919058175446,+918376958963,2025-05-15,05:24:39,117,ISD,2.19,Pune,VoLTE
CDR000129,+917091157374,+917436902747,2025-06-13,22:45:57,3069,Roaming,52.27,Chennai-North,5G
CDR000130,+918576365018,+918377987075,2025-06-27,15:40:16,3518,Local,142.99,Mumbai-East,4G
CDR000131,+919408188792,+919833437351,2025-06-17,04:14:21,1976,ISD,71.21,Pune,5G
CDR000132,+917959970254,+917874997204,2025-06-18,13:29:57,3143,ISD,152.53,Bangalore,4G
CDR000133,+919177879786,+918178929101,2025-06-11,03:04:36,1999,ISD,47.66,Chennai-North,4G
CDR000134,+919754933851,+919072457227,2025-05-26,02:09:54,622,Local,6.99,Kolkata-South,VoLTE
CDR000135,+917321473275,+919052974392,2025-05-23,22:12:08,3462,Roaming,52.71,Delhi-West,4G
CDR000136,+919098583340,+919699148372,2025-04-09,03:09:27,3092,Local,132.86,Hyderabad,VoLTE
CDR000137,+917858932379,+919035349353,2025-06-23,18:38:25,3236,STD,73.25,Kolkata-South,4G
CDR000138,+918535072933,+917844966313,2025-05-30,01:23:47,464,Roaming,19.46,Delhi-West,4G
CDR000139,+917633726855,+919308171730,2025-05-31,00:36:50,2913,Roaming,65.46,Hyderabad,VoLTE
CDR000140,+918824868023,+918621388625,2025-04-27,08:13:27,3094,Local,41.2,Chennai-North,VoLTE
CDR000141,+918712161522,+919022682706,2025-06-22,20:18:08,1011,Roaming,27.99,Mumbai-East,4G
CDR000142,+919918787806,+919031277778,2025-06-25,22:16:47,330,STD,13.0,Hyderabad,5G
CDR000143,+917231989458,+918763243924,2025-04-15,19:26:02,2895,Roaming,68.77,Hyderabad,5G
CDR000144,+919171424069,+917681679135,2025-05-29,08:46:34,3453,Local,132.74,Mumbai-East,5G
CDR000145,+917291187770,+918354460154,2025-06-10,02:22:12,688,ISD,8.84,Kolkata-South,5G
CDR000146,+918627564584,+918703204934,2025-04-01,16:55:51,1362,ISD,56.55,Bangalore,VoLTE
CDR000147,+919589187289,+918800836824,2025-05-16,10:03:01,662,ISD,26.86,Mumbai-East,VoLTE
CDR000148,+918528897560,+918058539155,2025-06-25,03:59:54,1279,ISD,54.88,Delhi-West,VoLTE
CDR000149,+918183359385,+918413134276,2025-05-31,18:00:51,3056,ISD,111.93,Kolkata-South,4G
CDR000150,+917780997868,+917730245691,2025-05-22,14:24:40,1652,Local,69.18,Kolkata-South,4G
CDR000151,+917936991600,+919478004364,2025-06-19,19:08:13,2524,Local,114.74,Chennai-North,5G
CDR000152,+917559136430,+919444819342,2025-05-12,14:06:01,77,Local,2.38,Delhi-West,4G
CDR000153,+919120956426,+918338891420,2025-06-24,19:56:27,191,STD,7.37,Delhi-West,VoLTE
CDR000154,+918015578999,+917551949052,2025-04-01,12:59:15,261,Roaming,7.74,Mumbai-East,VoLTE
CDR000155,+918407172493,+918622886263,2025-05-09,10:20:06,154,Local,3.46,Hyderabad,VoLTE
CDR000156,+919620741307,+919662577698,2025-04-02,13:01:44,1195,Roaming,54.71,Bangalore,5G
CDR000157,+918432521629,+918766569473,2025-05-12,05:09:07,2326,ISD,39.72,Pune,VoLTE
CDR000158,+917061101605,+918100880941,2025-04-30,19:05:04,2864,ISD,133.51,Kolkata-South,5G
CDR000159,+919442915887,+919603264848,2025-05-29,11:56:16,3233,ISD,83.18,Delhi-West,5G
CDR000160,+918825522252,+918046515676,2025-06-15,21:48:11,425,ISD,6.34,Delhi-West,4G
CDR000161,+917267053898,+917853064132,2025-05-01,22:47:57,2039,ISD,42.34,Chennai-North,VoLTE
CDR000162,+919818613849,+917326066038,2025-06-08,18:42:02,1768,STD,41.82,Pune,4G
CDR000163,+918253658177,+918567622557,2025-06-05,08:29:02,675,Roaming,23.52,Chennai-North,VoLTE
CDR000164,+917416865499,+917533512666,2025-06-30,03:19:44,652,STD,7.82,Kolkata-South,5G
CDR000165,+919585789083,+918669939514,2025-06-10,19:34:02,8,ISD,0.21,Pune,VoLTE
CDR000166,+918502663377,+917977093722,2025-06-07,12:14:18,376,STD,5.04,Hyderabad,VoLTE
CDR000167,+918889141683,+918623625273,2025-06-02,08:23:35,2011,ISD,22.2,Pune,5G
CDR000168,+919541261630,+919956966273,2025-04-24,13:17:26,2556,STD,82.2,Kolkata-South,VoLTE
CDR000169,+919005439934,+918677401334,2025-05-06,04:54:53,2367,Roaming,59.53,Delhi-West,5G
CDR000170,+918680553409,+918589767320,2025-06-22,17:14:32,2839,ISD,125.34,Mumbai-East,4G
CDR000171,+917062697879,+918648134326,2025-04-23,14:38:19,517,STD,24.23,Pune,4G
CDR000172,+917059213402,+918349475303,2025-06-07,16:15:45,1032,STD,38.12,Mumbai-East,5G
CDR000173,+918407783682,+919588395352,2025-04-23,18:02:49,2005,ISD,24.07,Pune,4G
CDR000174,+919049081772,+917696195143,2025-04-09,14:42:19,1229,ISD,52.27,Chennai-North,VoLTE
CDR000175,+918871778323,+917536073321,2025-05-13,11:23:59,2367,Local,59.8,Pune,4G
CDR000176,+919541933533,+918360737519,2025-05-25,09:14:40,2280,Local,94.13,Chennai-North,VoLTE
CDR000177,+918754752572,+919387347038,2025-05-09,07:32:17,473,STD,5.56,Mumbai-East,4G
CDR000178,+919953452584,+918650341682,2025-04-22,00:40:33,1168,ISD,45.51,Pune,VoLTE
CDR000179,+917832612792,+918923590206,2025-05-08,15:43:31,2154,STD,28.3,Kolkata-South,5G
CDR000180,+917612789185,+917927137423,2025-04-25,00:50:26,2520,Local,95.58,Pune,VoLTE
CDR000181,+917939823903,+919506917748,2025-04-11,10:04:47,397,STD,8.51,Mumbai-East,VoLTE
CDR000182,+919501349091,+918099992719,2025-05-26,23:10:28,685,STD,24.52,Hyderabad,VoLTE
CDR000183,+918671599389,+918346018720,2025-05-26,13:07:36,342,Local,11.17,Bangalore,5G
CDR000184,+918369871188,+918025741178,2025-04-12,17:22:39,2784,Local,108.35,Chennai-North,4G
CDR000185,+919716066872,+917157850263,2025-04-14,14:55:58,2347,STD,44.9,Kolkata-South,5G
CDR000186,+917781805511,+917066955189,2025-06-08,04:26:27,2148,STD,35.58,Chennai-North,5G
CDR000187,+917723111807,+919618500715,2025-05-12,12:46:16,2104,ISD,102.44,Chennai-North,5G
CDR000188,+919533580712,+917832196665,2025-04-02,00:48:50,3086,Roaming,47.35,Chennai-North,4G
CDR000189,+917346027713,+919834482250,2025-06-03,08:26:47,2155,Local,31.44,Mumbai-East,VoLTE
CDR000190,+918026831688,+917155738174,2025-05-20,02:59:21,3274,ISD,84.44,Kolkata-South,4G
CDR000191,+918164339003,+918300264600,2025-05-10,10:58:09,2060,Local,25.95,Kolkata-South,5G
CDR000192,+919554399308,+917129656681,2025-04-01,08:34:02,378,STD,8.02,Delhi-West,5G
CDR000193,+919659953749,+919034095763,2025-04-07,08:35:06,1246,ISD,33.4,Delhi-West,VoLTE
CDR000194,+919806176108,+919155159731,2025-04-04,16:57:57,1957,STD,90.28,Mumbai-East,4G
CDR000195,+917974400530,+918805488934,2025-05-27,00:48:45,2132,STD,92.84,Pune,VoLTE
CDR000196,+917707967587,+917828929083,2025-05-20,12:56:12,2276,Local,94.02,Chennai-North,5G
CDR000197,+919868638869,+918666721707,2025-05-22,11:29:10,1748,Roaming,59.21,Mumbai-East,5G
CDR000198,+919967123672,+919316496210,2025-04-20,00:48:46,766,ISD,23.28,Mumbai-East,5G
CDR000199,+918814569940,+918666363834,2025-05-09,07:35:39,900,ISD,34.33,Kolkata-South,4G
CDR000200,+919535028946,+919231711502,2025-04-15,20:53:41,2000,ISD,76.7,Mumbai-East,VoLTE
CDR000201,+918141801414,+918129900827,2025-05-29,06:45:54,1936,Roaming,25.9,Bangalore,VoLTE
CDR000202,+918966180668,+919489963771,2025-04-03,15:14:11,1743,Local,30.75,Kolkata-South,VoLTE
CDR000203,+919073073933,+918510138148,2025-05-31,06:55:07,3279,Local,153.24,Bangalore,5G
CDR000204,+917382197572,+918392843031,2025-05-11,02:38:25,3336,Local,50.04,Bangalore,VoLTE
CDR000205,+919901754929,+918989682950,2025-05-10,00:45:13,2597,Roaming,55.41,Chennai-North,4G
CDR000206,+919072665763,+919307246705,2025-04-04,21:16:06,3391,STD,54.6,Hyderabad,4G
CDR000207,+917175531855,+919185614792,2025-06-27,17:43:06,1738,Local,38.46,Mumbai-East,4G
CDR000208,+917268172054,+917553516402,2025-06-01,23:32:29,1105,Local,51.62,Kolkata-South,5G
CDR000209,+918038213700,+918913734327,2025-05-22,17:45:33,2022,ISD,55.98,Mumbai-East,4G
CDR000210,+919045244947,+918259677250,2025-04-02,20:39:04,1314,Roaming,53.15,Mumbai-East,VoLTE
CDR000211,+919280737628,+917840220885,2025-05-02,15:19:59,2112,STD,71.81,Kolkata-South,4G
CDR000212,+919563679589,+917953909077,2025-06-17,00:36:09,2925,STD,124.67,Delhi-West,4G
CDR000213,+918481575833,+918984647467,2025-05-11,09:20:38,3486,Roaming,124.66,Pune,5G
CDR000214,+918828629859,+919126142586,2025-06-24,13:11:27,2439,STD,115.36,Mumbai-East,VoLTE
CDR000215,+917377997690,+917052028784,2025-06-14,08:49:39,1943,Roaming,52.44,Hyderabad,5G
CDR000216,+918375290880,+917478602950,2025-04-19,21:59:25,2647,ISD,96.29,Kolkata-South,5G
CDR000217,+918937684229,+919537425511,2025-04-13,05:12:19,3530,Roaming,160.42,Chennai-North,5G
CDR000218,+918363431544,+917066253375,2025-04-20,09:20:04,2775,Local,119.01,Chennai-North,5G
CDR000219,+917794779174,+917576307757,2025-04-11,17:07:27,2450,Local,26.64,Bangalore,4G
CDR000220,+918456685549,+919944938714,2025-04-21,07:49:58,3357,Roaming,43.22,Hyderabad,5G
CDR000221,+917851002845,+919529304954,2025-06-10,19:14:03,2267,ISD,46.25,Delhi-West,5G
CDR000222,+917989395040,+918272693358,2025-06-04,02:13:24,1297,Local,21.75,Pune,VoLTE
CDR000223,+917165805753,+919383851715,2025-06-24,18:15:46,1418,Roaming,50.44,Hyderabad,4G
CDR000224,+919872897183,+917099316707,2025-06-24,15:02:59,3167,ISD,72.64,Delhi-West,VoLTE
CDR000225,+918994290018,+919428233928,2025-04-26,09:58:30,2710,ISD,105.22,Bangalore,5G
CDR000226,+917019891775,+918833656908,2025-06-03,00:14:55,1016,ISD,33.93,Pune,5G
CDR000227,+919512851650,+918657554188,2025-04-13,06:46:56,2490,Roaming,123.01,Delhi-West,VoLTE
CDR000228,+917410747646,+918736403187,2025-05-15,00:37:06,2865,STD,140.38,Bangalore,VoLTE
CDR000229,+917824587162,+917826917383,2025-06-22,09:48:18,2124,Roaming,78.15,Bangalore,VoLTE
CDR000230,+917742013317,+917814398009,2025-05-12,14:43:46,2628,STD,80.46,Hyderabad,5G
CDR000231,+919916441887,+919809294332,2025-04-05,05:16:17,1031,ISD,15.88,Kolkata-South,5G
CDR000232,+917687577809,+918115251689,2025-05-22,12:54:20,1579,Roaming,37.94,Chennai-North,5G
CDR000233,+917072808095,+919631312596,2025-06-15,21:13:46,11,Roaming,0.26,Mumbai-East,VoLTE
CDR000234,+917504249529,+919400591068,2025-05-05,16:04:19,1167,Local,14.93,Bangalore,5G
CDR000235,+919903651384,+917946894172,2025-05-06,21:33:36,2626,STD,112.0,Bangalore,5G
CDR000236,+918690652555,+918846600557,2025-04-28,14:14:10,2482,Local,75.72,Pune,5G
CDR000237,+918058627239,+918198822144,2025-05-01,20:41:39,2107,STD,65.62,Bangalore,4G
CDR000238,+919186226442,+919464459681,2025-04-03,19:58:38,3470,ISD,144.24,Kolkata-South,4G
CDR000239,+919657954806,+919373100776,2025-04-27,05:34:00,132,Local,2.41,Delhi-West,5G
CDR000240,+918822426976,+919111415741,2025-05-12,10:28:19,1892,ISD,41.36,Hyderabad,4G
CDR000241,+917627584329,+919299756415,2025-05-07,14:14:21,1635,STD,22.83,Delhi-West,4G
CDR000242,+917236294133,+917057343692,2025-04-18,19:43:05,1827,STD,81.79,Hyderabad,5G
CDR000243,+919699099198,+919713965104,2025-04-10,05:06:36,2399,Roaming,61.91,Delhi-West,5G
CDR000244,+919383569002,+918399026944,2025-05-31,14:30:21,1047,STD,17.98,Mumbai-East,5G
CDR000245,+918985270283,+918654781715,2025-05-31,02:33:13,556,Local,20.72,Kolkata-South,5G
CDR000246,+919045789335,+917381057174,2025-04-18,21:58:01,3139,Local,38.25,Kolkata-South,VoLTE
CDR000247,+917133473612,+918873775585,2025-04-12,20:23:54,820,STD,26.95,Delhi-West,5G
CDR000248,+919966523998,+917328338756,2025-04-17,08:32:40,3560,Roaming,130.8,Pune,5G
CDR000249,+919761955510,+917931323193,2025-06-22,12:25:47,3048,Roaming,56.76,Bangalore,5G
CDR000250,+917766617671,+918413464083,2025-04-12,07:39:57,617,STD,23.97,Bangalore,VoLTE
CDR000251,+917718373061,+917122135155,2025-04-17,02:13:11,1868,STD,36.62,Mumbai-East,4G
CDR000252,+919241983889,+919069181992,2025-04-05,01:14:37,2989,Local,137.87,Bangalore,4G
CDR000253,+918208782392,+919721099743,2025-06-05,08:29:33,3473,ISD,130.32,Mumbai-East,5G
CDR000254,+917364790279,+917496316245,2025-05-17,23:48:08,2625,STD,128.74,Pune,4G
CDR000255,+918161714338,+919168559675,2025-06-09,17:37:10,1236,Roaming,53.79,Chennai-North,VoLTE
CDR000256,+918504656333,+917425935812,2025-04-03,06:21:24,51,Roaming,1.31,Pune,5G
CDR000257,+917643817022,+919658287298,2025-05-03,09:20:53,1766,Local,38.1,Kolkata-South,4G
CDR000258,+918119273990,+917138648518,2025-06-29,15:14:09,1769,Roaming,35.88,Mumbai-East,VoLTE
CDR000259,+918283086748,+918068560906,2025-06-18,09:35:46,1526,Roaming,46.31,Delhi-West,5G
CDR000260,+917145263977,+917766384186,2025-04-03,22:08:28,695,Roaming,10.96,Kolkata-South,4G
CDR000261,+917870840227,+919855913351,2025-05-28,18:05:08,1506,ISD,15.61,Bangalore,4G
CDR000262,+917866341691,+919544227191,2025-06-17,10:07:36,3352,ISD,54.14,Kolkata-South,VoLTE
CDR000263,+917108097197,+917011483790,2025-05-09,16:14:23,3315,STD,150.14,Chennai-North,VoLTE
CDR000264,+919711810731,+918663690900,2025-05-25,10:20:42,2991,ISD,128.12,Bangalore,4G
CDR000265,+917007530361,+918533335915,2025-06-15,21:41:59,3102,Local,151.1,Chennai-North,5G
